created_at,lat,lon,trap_id,males,females,note,trap_visit_date
2019-08-23 14:52:57.544000+10:00,,,15,2,0,,2019-08-23
2019-08-23 14:54:28.546000+10:00,,,16,0,1,,2019-08-23
2019-08-23 14:55:59.846000+10:00,,,17,0,1,,2019-08-23
2019-08-23 14:57:17.992000+10:00,,,18,0,0,,2019-08-23
2019-08-23 15:05:11.736000+10:00,,,19,0,0,lure,2019-08-23
2019-08-23 15:06:16.949000+10:00,,,20,1,1,lure,2019-08-23
2019-08-23 15:07:35.787000+10:00,,,21,1,1,,2019-08-23
2019-08-23 15:08:16.131000+10:00,,,22,1,0,,2019-08-23
2019-08-23 15:08:55.337000+10:00,,,23,0,2,,2019-08-23
2019-08-23 15:09:38.561000+10:00,,,24,0,0,,2019-08-23
2019-08-23 15:10:38.545000+10:00,,,25,2,1,,2019-08-23
2019-08-23 15:11:27.129000+10:00,,,26,0,0,,2019-08-23
2019-08-23 15:12:08.550000+10:00,,,27,1,1,,2019-08-23
2019-08-23 15:13:02.604000+10:00,,,28,2,2,lure,2019-08-23
2019-08-23 15:14:09.072000+10:00,,,29,1,3,,2019-08-23
2019-08-23 15:15:31.956000+10:00,,,30,0,1,lure,2019-08-23
2019-08-28 09:02:03.942000+10:00,,,40,2,0,,2019-08-28
2019-08-28 09:03:11.512000+10:00,,,39,0,0,,2019-08-28
2019-08-28 09:04:04.821000+10:00,,,38,0,0,,2019-08-28
2019-08-28 09:06:08.464000+10:00,,,37,0,1,,2019-08-28
2019-08-28 09:06:37.706000+10:00,,,36,1,0,,2019-08-28
2019-08-28 09:07:27.754000+10:00,,,35,0,0,,2019-08-28
2019-08-28 09:08:17.988000+10:00,,,34,4,0,,2019-08-28
2019-08-28 09:08:56.103000+10:00,,,33,1,0,,2019-08-28
2019-08-28 09:09:40.778000+10:00,,,32,1,1,,2019-08-28
2019-08-28 09:10:35.714000+10:00,,,31,2,1,,2019-08-28
2019-08-28 09:15:38.076000+10:00,,,1,0,0,,2019-08-28
2019-08-28 09:16:43.913000+10:00,,,2,2,2,,2019-08-28
2019-08-28 09:18:43.863000+10:00,,,3,1,0,lure,2019-08-28
2019-08-28 09:20:48.014000+10:00,,,4,1,2,lure,2019-08-28
2019-08-28 09:21:41.899000+10:00,,,5,1,0,,2019-08-28
2019-08-28 09:22:22.736000+10:00,,,6,0,1,,2019-08-28
2019-08-28 09:23:28.312000+10:00,,,7,1,0,lure,2019-08-28
2019-08-28 09:24:50.829000+10:00,,,8,2,0,,2019-08-28
2019-08-28 09:27:57.649000+10:00,,,9,1,1,,2019-08-28
2019-08-28 09:29:42.003000+10:00,,,10,0,0,,2019-08-28
2019-08-28 09:30:20.181000+10:00,,,11,0,1,,2019-08-28
2019-08-28 09:31:08.350000+10:00,,,12,0,0,,2019-08-28
2019-08-28 09:32:05.698000+10:00,,,13,0,2,,2019-08-28
2019-08-28 09:33:02.172000+10:00,,,14,0,0,,2019-08-28
2019-08-28 09:33:53.020000+10:00,,,15,1,0,,2019-08-28
2019-08-28 09:34:55.098000+10:00,,,16,1,1,,2019-08-28
2019-08-28 09:36:05.789000+10:00,,,17,0,0,,2019-08-28
2019-08-28 09:37:11.037000+10:00,,,18,0,0,,2019-08-28
2019-08-28 09:45:46.369000+10:00,,,19,0,2,,2019-08-28
2019-08-28 09:46:17.465000+10:00,,,20,0,0,,2019-08-28
2019-08-28 09:47:16.959000+10:00,,,21,0,1,,2019-08-28
2019-08-28 09:47:42.074000+10:00,,,22,0,0,,2019-08-28
2019-08-28 09:48:23.561000+10:00,,,23,1,1,,2019-08-28
2019-08-28 09:49:10.928000+10:00,,,24,2,2,,2019-08-28
2019-08-28 09:50:23.547000+10:00,,,25,2,0,,2019-08-28
2019-08-28 09:51:18.037000+10:00,,,26,2,2,lure,2019-08-28
2019-08-28 09:52:39.747000+10:00,,,27,0,0,,2019-08-28
2019-08-28 09:53:52.684000+10:00,,,28,0,0,lure,2019-08-28
2019-08-28 09:55:11.705000+10:00,,,29,1,0,,2019-08-28
2019-08-28 09:56:21.921000+10:00,,,30,2,0,,2019-08-28
2019-09-04 08:49:17.251000+10:00,,,40,1,2,,2019-09-04
2019-09-04 08:50:15.734000+10:00,,,39,1,0,lure,2019-09-04
2019-09-04 08:52:15.264000+10:00,,,38,2,1,,2019-09-04
2019-09-04 08:54:13.313000+10:00,,,37,1,3,,2019-09-04
2019-09-04 08:56:47.533000+10:00,,,36,1,1,,2019-09-04
2019-09-04 08:57:44.837000+10:00,,,35,1,0,lure,2019-09-04
2019-09-04 08:59:28.479000+10:00,,,34,0,1,,2019-09-04
2019-09-04 09:00:16.811000+10:00,,,33,0,2,,2019-09-04
2019-09-04 09:01:27.854000+10:00,,,32,1,1,lure,2019-09-04
2019-09-04 09:02:46.457000+10:00,,,31,3,1,,2019-09-04
2019-09-04 09:06:57.768000+10:00,,,1,0,0,,2019-09-04
2019-09-04 09:07:49.687000+10:00,,,2,2,0,,2019-09-04
2019-09-04 09:09:16.781000+10:00,,,3,0,3,,2019-09-04
2019-09-04 09:10:15.835000+10:00,,,4,0,0,,2019-09-04
